Model,Dataset,Num_Features,Accuracy,Precision,Recall,F1-score
Logistic Regression,Brain Tumor MRI,20,0.7821428571428571,0.781663516068053,0.9845238095238096,0.8714436248682824
Linear SVM,Brain Tumor MRI,20,0.7821428571428571,0.7843511450381679,0.9785714285714285,0.8707627118644068
Naive Bayes,Brain Tumor MRI,20,0.5035714285714286,0.9551282051282052,0.3547619047619048,0.5173611111111112
Voting (Hard),Brain Tumor MRI,20,0.7839285714285714,0.7847619047619048,0.9809523809523809,0.8719576719576719
Voting (Soft),Brain Tumor MRI,20,0.8294642857142858,0.8294416243654822,0.9726190476190476,0.8953424657534247
Stacking,Brain Tumor MRI,20,0.8071428571428572,0.8035019455252919,0.9833333333333333,0.8843683083511777
